stage,capacity,mean_lift,mean_recall,mean_top_rate,median_raw_threshold,min_raw_threshold,max_raw_threshold
T0_cold,0.05,0.9891843944726709,0.05109423525168755,0.45,0.47213829040407596,0.39198144309626093,0.5119706157215039
T0_cold,0.1,0.9949805486386318,0.10073150182498546,0.4489795918367347,0.4712928442162301,0.39005123149935794,0.5083358020534356
T0_cold,0.15,0.9858165237568479,0.14868720296332624,0.4417808219178082,0.4701720990801613,0.38888960590084526,0.5057194727870051
T0_cold,0.2,0.9926850296206623,0.19894720634959553,0.44329896907216493,0.4698474680589288,0.3878697070559062,0.5038352889715024
T0_cold,0.3,1.0111746185946822,0.30502374858434633,0.4503424657534247,0.46973812840627427,0.38571109531702313,0.5014034758132021
T1_first_inquiry,0.05,1.0458762016691798,0.05412176692297262,0.48,0.5184809705617317,0.45354435613832345,0.5704031925908162
T1_first_inquiry,0.1,1.1262429021033964,0.11423395073905812,0.5102040816326531,0.5016783857489264,0.43585747182931905,0.5508022849267196
T1_first_inquiry,0.15,1.1222993623365405,0.16959501237046365,0.5102739726027397,0.487773336843975,0.4259230479303929,0.5421421252774123
T1_first_inquiry,0.2,1.0939428956244828,0.21967259101525907,0.4948453608247423,0.47861193335305263,0.41747306227345266,0.5327573105046295
T1_first_inquiry,0.3,1.1245834231855931,0.3381955847340764,0.507687765706188,0.46568140633877203,0.38801273294162814,0.5211960653801094
T2_engaged,0.05,1.461127966730573,0.07352020101904469,0.4970992589908081,0.5033922824648016,0.4316626508931131,0.5860300307134967
T2_engaged,0.1,1.4565090960903777,0.14592991498171887,0.49874260022124883,0.4779743992761418,0.39281602780548924,0.5543075925396972
T2_engaged,0.15,1.457050043061682,0.2193502672422654,0.4988443350042011,0.45586653954925793,0.3757528975605472,0.5327407046636232
T2_engaged,0.2,1.4283632988971622,0.2862346555952014,0.48917731424150646,0.4296180340183374,0.36160658424898456,0.5120297352248816
T2_engaged,0.3,1.382119761104716,0.41544832826747724,0.47396754928686147,0.39339301043876723,0.33556311591027227,0.4596613730762867
