feature,columns,ap_drop_mean,ap_drop_std,auc_drop_mean,auc_drop_std,family
hist_prior_median_response_hours,hist_prior_median_response_hours,0.009686064936327121,0.004782774170870893,0.005280577631323858,0.0038664813937273495,interaction_history
hist_prior_realized_responses,hist_prior_realized_responses,0.007755037862958392,0.0043980020845891575,0.008597596433417242,0.0019874097312013307,interaction_history
availability_snapshot_age_days,availability_snapshot_age_days,0.006961640966632232,0.003942077868956005,0.005551948051947963,0.0040995667696918595,availability_asof
min_budget_mxn_sale_total,min_budget_mxn_sale_total,0.005571354276559725,0.0017951420875246377,0.0015807327001356563,0.00135671320904591,lead_intake
hist_prior_accepted_responses,hist_prior_accepted_responses,0.003881987751822269,0.0033571634232315867,0.004974316728048022,0.0024336125399855297,interaction_history
spot_floor_level,spot_floor_level,0.003677270491590523,0.0022532855335972595,0.0003915487497576198,0.0013994992563989147,spot_static
spot_maintenance_cost_mxn,spot_maintenance_cost_mxn,0.003668930668331005,0.003175030354755196,0.00137962783485166,0.0016292620413656442,spot_static
hist_prior_accept_rate,hist_prior_accept_rate,0.003553033349317558,0.00150415119746551,0.0010925082380305318,0.0007438616883609895,interaction_history
spot_price_sqm_mxn_rent,spot_price_sqm_mxn_rent,0.0033798007039420154,0.0020216448874762413,0.002292110874200337,0.0006040172314805432,spot_static
spot_lat,spot_lat,0.003262597920313648,0.0005143042858669464,0.0008267106028299276,0.00021353876623853637,spot_static
spot_charging_ports,spot_charging_ports,0.0030470788849901397,0.002322592781231646,0.00201686373328156,0.0009629281567942326,spot_static
inquiry_number,inquiry_number,0.0028113107698350738,0.002486415644291067,0.001355882923047047,0.0015023674504394964,current_inquiry
days_from_lead_creation,days_from_lead_creation,0.002077349930691397,0.0012427376526117277,0.0017469470827679023,0.00038095835472158813,current_inquiry
min_budget_mxn_rent_monthly,min_budget_mxn_rent_monthly,0.002072447384630571,0.0009773753678664853,0.001014246947082742,0.0003411355537833395,lead_intake
spot_elevators,spot_elevators,0.0019146331593824727,0.0018905288841480747,0.00013132389998051774,0.0008327772660968311,spot_static
target_area_sqm,target_area_sqm,0.0018943635645058076,0.0008939703479069065,0.0008691122310524602,0.0007012764604331371,lead_intake
spot_luminaires,spot_luminaires,0.001809222845052294,0.0007928590872135214,0.00015313045163780625,0.0004114822900932849,spot_static
prior_searches,prior_searches,0.001713696244682894,0.0012937310051327705,0.0014460166698971432,0.0005851898730978022,lead_intake
sale_budget_to_price_ratio,sale_budget_to_price_ratio,0.0016883899938332724,0.0014863124222347745,0.0005693932932738565,0.0007886042186299265,lead_spot_match
hist_prior_unique_spots,hist_prior_unique_spots,0.0015617266887181457,0.0035345092140255025,0.0017210215157975827,0.0015283951708518371,interaction_history
spot_security_type,spot_security_type,0.0014568150350502851,0.0002947488594404767,0.0006813335917813079,0.00022712104853941104,spot_static
message_length,message_length,0.00128451176034019,0.0011185454785682496,-0.00012332816437301552,0.0006042506950466218,current_inquiry
has_converted_before,has_converted_before,0.0011451793253024034,0.0006815885600094147,0.0015511727078890481,0.000599302903799485,lead_intake
