model,stage,n,positive_rate,roc_auc,average_precision,brier,log_loss,lift_top_10pct,recall_top_20pct
multihead_calibrated,T0_cold,1936.0,0.4452479338842975,0.5395500913816123,0.4706061499545632,0.24667625263767215,0.686478315663732,1.0535077857775015,0.21693735498839908
multihead_calibrated,T1_first_inquiry,1932.0,0.45134575569358176,0.523079128440367,0.4654514756443322,0.24834427938603387,0.6898867955923292,1.0392745672940509,0.20412844036697247
multihead_calibrated,T2_engaged,4112.0,0.3424124513618677,0.5867509518726466,0.4134244539310298,0.22089790636514703,0.6330990508569547,1.3042806707855252,0.25426136363636365
multihead_calibrated,MACRO,7980.0,0.4130020469799156,0.5497933905648752,0.4498273598433084,0.23863947946295103,0.6698213873710053,1.1323543412856925,0.22510905299724507
specialist_random_forest_calibrated,T0_cold,1936.0,0.4452479338842975,0.5328746970148673,0.46925889832854956,0.24626520881545064,0.685599067157202,1.0187767598727486,0.20185614849187936
specialist_random_forest_calibrated,T1_first_inquiry,1932.0,0.45134575569358176,0.5657445473429116,0.49914519013718095,0.24517178764131342,0.6833770890001641,1.1649011633405846,0.23509174311926606
specialist_random_forest_calibrated,T2_engaged,4112.0,0.3424124513618677,0.6147305969271114,0.4411450636846099,0.21745214292127457,0.6258110328154936,1.502758164165931,0.27769886363636365
specialist_random_forest_calibrated,MACRO,7980.0,0.4130020469799156,0.57111661376163,0.46984971738344683,0.23629637979267956,0.6649290629909532,1.2288120291264215,0.23821558508250304
specialist_catboost_calibrated,T0_cold,1936.0,0.4452479338842975,0.5349048594278604,0.4634372415177484,0.24657848496504228,0.6862967093423149,1.0419307771425839,0.2099767981438515
specialist_catboost_calibrated,T1_first_inquiry,1932.0,0.45134575569358176,0.5826705037216547,0.5058686892361667,0.24218095704891793,0.6769177431937713,1.1420599640593965,0.2305045871559633
specialist_catboost_calibrated,T2_engaged,4112.0,0.3424124513618677,0.6285210620209118,0.4465785702273961,0.21512277690616755,0.6201242724276016,1.5098466460723743,0.27485795454545453
specialist_catboost_calibrated,MACRO,7980.0,0.4130020469799156,0.5820321417234756,0.47196150032710377,0.23462740630670922,0.6611129083212292,1.2312791290914515,0.23844644661508982
pooled_catboost_calibrated,T0_cold,1936.0,0.4452479338842975,0.534113641568048,0.4708174542014913,0.24695664060953704,0.6870609894383891,1.0187767598727486,0.21577726218097448
pooled_catboost_calibrated,T1_first_inquiry,1932.0,0.45134575569358176,0.557417344642548,0.4924762757129356,0.24787644971387404,0.6896878639301615,1.1306393644188026,0.2305045871559633
pooled_catboost_calibrated,T2_engaged,4112.0,0.3424124513618677,0.624849890944392,0.436246561638598,0.2167602542591992,0.6239700950441611,1.4106078993821711,0.2840909090909091
pooled_catboost_calibrated,MACRO,7980.0,0.4130020469799156,0.5721269590516627,0.46651343051767497,0.23719778152753676,0.6669063161375707,1.1866746745579075,0.24345758614261567
multihead_trajectory,T0_cold,1936.0,0.4452479338842975,0.5375793378181614,0.4711774359239824,0.24692645021514237,0.6869998345795272,1.1113928289520894,0.21925754060324826
multihead_trajectory,T1_first_inquiry,1932.0,0.45134575569358176,0.5305035052795569,0.4646531407025156,0.24841584618022583,0.6900022779182059,0.8908067719663294,0.20527522935779816
multihead_trajectory,T2_engaged,4112.0,0.3424124513618677,0.6043130547337278,0.42886006600703713,0.2187165046568599,0.62800980655666,1.4247848631950573,0.27698863636363635
multihead_trajectory,MACRO,7980.0,0.4130020469799156,0.5574652992771486,0.4548968808778451,0.23801960035074268,0.6683373063514644,1.142328154704492,0.23384046877489426
specialist_random_forest_trajectory,T0_cold,1936.0,0.4452479338842975,0.5383975597004931,0.47147163912365675,0.2459032418445617,0.6848600683122815,0.9840457339679958,0.20765661252900233
specialist_random_forest_trajectory,T1_first_inquiry,1932.0,0.45134575569358176,0.5707990739137961,0.5001806312473313,0.24476783364009083,0.6825617742505645,1.1877423626217725,0.23738532110091742
specialist_random_forest_trajectory,T2_engaged,4112.0,0.3424124513618677,0.6154999222532276,0.43162292588137935,0.21757494747622724,0.6253813516768733,1.3680770079435127,0.2677556818181818
specialist_random_forest_trajectory,MACRO,7980.0,0.4130020469799156,0.574898851955839,0.4677583987507891,0.2360820076536266,0.6642677314132398,1.1799550348444272,0.23759920514936717
specialist_catboost_trajectory,T0_cold,1936.0,0.4452479338842975,0.5350425799427082,0.46468912127258866,0.24689302439277724,0.6869330376868742,1.0650847944124189,0.21461716937354988
specialist_catboost_trajectory,T1_first_inquiry,1932.0,0.45134575569358176,0.5841321187467544,0.5103050578065376,0.24210170953250948,0.6770863423298247,1.1534805636999907,0.22821100917431192
