fold,model,stage,n,positive_rate,roc_auc,average_precision,brier,log_loss,lift_top_10pct,recall_top_20pct
1,multihead_trajectory,T0_cold,484.0,0.39462809917355374,0.535889784321784,0.4261549610781693,0.2388338593972448,0.6706396197772329,1.1377283897852335,0.225130890052356
1,multihead_trajectory,T1_first_inquiry,483.0,0.3995859213250518,0.5175808468822584,0.4169785908295025,0.2398076414922451,0.6726147441159743,1.0725388601036268,0.21761658031088082
1,multihead_trajectory,T2_engaged,1078.0,0.2987012987012987,0.5881560353610042,0.3709873500393378,0.2053147314331671,0.5996078856171169,1.2709339774557167,0.2484472049689441
1,multihead_trajectory,MACRO,2045.0,0.36430510639996805,0.5472088888550155,0.40470696731566985,0.227985410774219,0.6476207498367746,1.160400409114859,0.23039822511072697
1,specialist_random_forest_trajectory,T0_cold,484.0,0.39462809917355374,0.5533477476189625,0.4369468293600522,0.23790098297916223,0.6686546189752459,1.2411582434020727,0.24083769633507854
1,specialist_random_forest_trajectory,T1_first_inquiry,483.0,0.3995859213250518,0.531659817759514,0.41821701939591444,0.24094445139696388,0.6749281399943479,1.1236121391561806,0.23316062176165803
1,specialist_random_forest_trajectory,T2_engaged,1078.0,0.2987012987012987,0.6008741660915574,0.36224351399974825,0.20563515733677873,0.5998130707245827,1.1159420289855073,0.2670807453416149
1,specialist_random_forest_trajectory,MACRO,2045.0,0.36430510639996805,0.561960577156678,0.405802454251905,0.22816019723763495,0.6477986098980589,1.160237470514587,0.2470263544794505
1,specialist_catboost_trajectory,T0_cold,484.0,0.39462809917355374,0.5,0.39462809917355374,0.2391061366089838,0.67121550976739,0.6722940485094562,0.15706806282722513
1,specialist_catboost_trajectory,T1_first_inquiry,483.0,0.3995859213250518,0.5575129533678755,0.43778502328143765,0.23489020860361984,0.6622622736962821,1.0214655810510733,0.21243523316062177
1,specialist_catboost_trajectory,T2_engaged,1078.0,0.2987012987012987,0.6053230470932335,0.3781013886987375,0.20506715871027234,0.5986946800124489,1.4879227053140096,0.2857142857142857
1,specialist_catboost_trajectory,MACRO,2045.0,0.36430510639996805,0.5542786668203696,0.4035048370512429,0.22635450130762533,0.6440574878253736,1.060560778291513,0.21840586056737754
1,pooled_catboost_trajectory,T0_cold,484.0,0.39462809917355374,0.4900827332344585,0.3710261698657453,0.23936883475852697,0.6717712333976436,0.6205791217010364,0.17801047120418848
1,pooled_catboost_trajectory,T1_first_inquiry,483.0,0.3995859213250518,0.5569769519385385,0.43277768373095327,0.23792498682593383,0.6676944264391161,1.1236121391561806,0.21761658031088082
1,pooled_catboost_trajectory,T2_engaged,1078.0,0.2987012987012987,0.6297528673305071,0.41428777116478166,0.2001752361839269,0.5882778195503013,1.6119162640901772,0.30124223602484473
1,pooled_catboost_trajectory,MACRO,2045.0,0.36430510639996805,0.558937517501168,0.40603054158716007,0.22582301925612924,0.642581159795687,1.118702508315798,0.2322897625133047
1,trajectory_validation_hybrid,T0_cold,484.0,0.39462809917355374,0.5,0.39462809917355374,0.2391061366089838,0.67121550976739,0.6722940485094562,0.15706806282722513
1,trajectory_validation_hybrid,T1_first_inquiry,483.0,0.3995859213250518,0.5575129533678755,0.43778502328143765,0.23489020860361984,0.6622622736962821,1.0214655810510733,0.21243523316062177
1,trajectory_validation_hybrid,T2_engaged,1078.0,0.2987012987012987,0.6297528673305071,0.41428777116478166,0.2001752361839269,0.5882778195503013,1.6119162640901772,0.30124223602484473
1,trajectory_validation_hybrid,MACRO,2045.0,0.36430510639996805,0.5624219402327942,0.4155669645399243,0.22472386046551018,0.6405852010046578,1.1018919645502356,0.22358184400423053
2,multihead_trajectory,T0_cold,484.0,0.4380165289256198,0.5170817147613762,0.4651441024480495,0.2493812823883968,0.6920710028657496,1.118213323065075,0.19811320754716982
2,multihead_trajectory,T1_first_inquiry,482.0,0.44813278008298757,0.4983987747145643,0.44346281299543316,0.24955910499914286,0.6924379553962143,0.8197278911564626,0.19444444444444445
2,multihead_trajectory,T2_engaged,1058.0,0.34026465028355385,0.6100684495383636,0.42815421856422753,0.21887247020090067,0.6282627581586102,1.4417190775681343,0.26944444444444443
2,multihead_trajectory,MACRO,2024.0,0.40880465309738706,0.5418496463381013,0.4455870446692367,0.23927095252948014,0.6709239054735248,1.1265534305965572,0.22066736547868623
2,specialist_random_forest_trajectory,T0_cold,484.0,0.4380165289256198,0.5353079911209766,0.4768007770016587,0.24618851250128365,0.6854083905198519,1.2579899884482093,0.23113207547169812
2,specialist_random_forest_trajectory,T1_first_inquiry,482.0,0.44813278008298757,0.5924359509885826,0.553112638396089,0.24718258581978134,0.6874632096256017,1.411753590325019,0.23148148148148148
2,specialist_random_forest_trajectory,T2_engaged,1058.0,0.34026465028355385,0.6207895574657752,0.4393148687113032,0.2174114545790037,0.6249114469822097,1.4417190775681343,0.26666666666666666
2,specialist_random_forest_trajectory,MACRO,2024.0,0.40880465309738706,0.5828444998584449,0.4897427613696837,0.2369275176333562,0.6659276823758878,1.3704875521137874,0.24309340787328212
2,specialist_catboost_trajectory,T0_cold,484.0,0.4380165289256198,0.5,0.4380165289256198,0.24803998960481002,0.6893379233746108,0.9318444358875626,0.18396226415094338
2,specialist_catboost_trajectory,T1_first_inquiry,482.0,0.44813278008298757,0.5152812587023113,0.4558455795189255,0.24966551021220731,0.6926089981298569,1.09297052154195,0.21296296296296297
2,specialist_catboost_trajectory,T2_engaged,1058.0,0.34026465028355385,0.6237304998408151,0.428192228344608,0.2158339482913574,0.6210499997950434,1.3862683438155137,0.2611111111111111
2,specialist_catboost_trajectory,MACRO,2024.0,0.40880465309738706,0.5463372528477088,0.44068477892971775,0.2378464827027916,0.6676656404331703,1.1370277670816755,0.2193454460750058
2,pooled_catboost_trajectory,T0_cold,484.0,0.4380165289256198,0.5419499167591565,0.47435384987016926,0.2463385872294159,0.6857776176264382,1.118213323065075,0.21226415094339623
2,pooled_catboost_trajectory,T1_first_inquiry,482.0,0.44813278008298757,0.5809314954051796,0.47839587606425615,0.25429712408422617,0.7028635437343049,0.8652683295540438,0.19444444444444445
