metric,reference,challenger,reference_estimate,challenger_estimate,delta_challenger_minus_reference,delta_ci_low,delta_ci_high,probability_delta_positive,bootstrap_iterations
roc_auc,p_lead_quality,opportunity_probability_lower,0.5477761156207339,0.5118806761981837,-0.035895439422550246,-0.06959089971317867,-0.0010533346810798771,0.024,1000
average_precision,p_lead_quality,opportunity_probability_lower,0.2391286807814938,0.2477033603476502,0.008574679566156401,-0.016074565953479024,0.039635053395277696,0.764,1000
brier,p_lead_quality,opportunity_probability_lower,0.16577089801701325,0.17071491602692765,0.004944018009914397,0.0027835107054171152,0.006928410783626122,1.0,1000
log_loss,p_lead_quality,opportunity_probability_lower,0.5128738920902987,0.5317976688690614,0.01892377677876278,0.010650495372017718,0.026728114146693776,1.0,1000
lift_top_5pct,p_lead_quality,opportunity_probability_lower,1.6887936241363564,1.5894355820360049,-0.09935804210035148,-0.49022302387789823,0.2805094703237884,0.301,1000
lift_top_10pct,p_lead_quality,opportunity_probability_lower,1.6887936241363564,1.3702030879620732,-0.3185905361742831,-0.6251767301165893,-0.012458193802988479,0.022,1000
recall_top_10pct,p_lead_quality,opportunity_probability_lower,0.16976768167823103,0.13774104683195593,-0.032026634846275104,-0.06284652108711476,-0.0012523724921765155,0.022,1000
