fold,model,catboost_segment_collapse,n,positive_rate,roc_auc,average_precision,brier,log_loss,precision_top_5pct,recall_top_5pct,lift_top_5pct,precision_top_10pct,recall_top_10pct,lift_top_10pct,precision_top_20pct,recall_top_20pct,lift_top_20pct
1,logistic,False,258,0.1821705426356589,0.4418675002520924,0.15824196970021828,0.16963922995852593,0.5407321680871204,0.07692307692307693,0.02127659574468085,0.4222585924713585,0.07692307692307693,0.0425531914893617,0.4222585924713585,0.1346153846153846,0.14893617021276595,0.7389525368248773
1,catboost,False,258,0.1821705426356589,0.5686195422002622,0.2329373278500456,0.15603067699270934,0.4939934064308787,0.23076923076923078,0.06382978723404255,1.2667757774140753,0.15384615384615385,0.0851063829787234,0.844517184942717,0.23076923076923078,0.2553191489361702,1.2667757774140753
2,logistic,False,249,0.20481927710843373,0.5858585858585859,0.2975495131807885,0.16248011509020116,0.507084994364691,0.38461538461538464,0.09803921568627451,1.8778280542986427,0.32,0.1568627450980392,1.5623529411764707,0.3,0.29411764705882354,1.464705882352941
2,catboost,False,249,0.20481927710843373,0.5048524460289165,0.2842654507945736,0.16268074604021876,0.5076432109939633,0.46153846153846156,0.11764705882352941,2.253393665158371,0.28,0.13725490196078433,1.3670588235294119,0.22,0.21568627450980393,1.0741176470588236
3,logistic,False,255,0.1568627450980392,0.44523255813953494,0.1476541756752154,0.14805308791531305,0.48079451035336235,0.15384615384615385,0.05,0.9807692307692308,0.07692307692307693,0.05,0.4903846153846154,0.13725490196078433,0.175,0.8750000000000001
3,catboost,False,255,0.1568627450980392,0.5005813953488373,0.21023136839343284,0.18379190951509033,0.5584789916482903,0.38461538461538464,0.125,2.451923076923077,0.23076923076923078,0.15,1.4711538461538463,0.21568627450980393,0.275,1.375
4,logistic,False,272,0.23529411764705882,0.5214092548076923,0.26692500448309925,0.18671903164813547,0.5710509672052453,0.21428571428571427,0.046875,0.9107142857142857,0.21428571428571427,0.09375,0.9107142857142857,0.2545454545454545,0.21875,1.0818181818181818
4,catboost,False,272,0.23529411764705882,0.5171274038461539,0.2516051045301596,0.2194467857255049,0.6317012840178338,0.2857142857142857,0.0625,1.2142857142857142,0.25,0.109375,1.0625,0.21818181818181817,0.1875,0.9272727272727272
1,stable_segment_logistic,False,258,0.1821705426356589,0.48568115357466973,0.17882472137791286,0.1512422128948287,0.48077812476939147,0.14285714285714285,0.03951367781155015,0.7841945288753799,0.14285714285714285,0.0790273556231003,0.7841945288753799,0.16321070234113713,0.1805735430157262,0.8959225788087953
2,stable_segment_logistic,False,249,0.20481927710843373,0.5282234105763518,0.21848005834078002,0.16208266415403386,0.5047755467647405,0.3043478260869565,0.07757885763000852,1.485933503836317,0.29557522123893804,0.14488981433281276,1.4431025507548152,0.2451327433628319,0.24032621898316853,1.1968245705361793
3,stable_segment_logistic,False,255,0.1568627450980392,0.5470930232558139,0.18333333333333332,0.132456065569822,0.4356329979691496,0.3333333333333333,0.10833333333333332,2.125,0.2749107432651737,0.17869198312236287,1.7525559883154822,0.2104740630429387,0.2683544303797468,1.3417721518987342
4,stable_segment_logistic,False,272,0.23529411764705882,0.48978365384615385,0.23207720588235295,0.1826505581797628,0.5537959939773931,0.20588235294117646,0.04503676470588235,0.875,0.20588235294117646,0.0900735294117647,0.875,0.21871657754010695,0.1879595588235294,0.9295454545454546
