score,metric,estimate,ci_low,ci_high,bootstrap_iterations
p_lead_quality,roc_auc,0.5477761156207339,0.5272970480363431,0.568425301267308,1000
p_lead_quality,average_precision,0.2391286807814938,0.21447914333875298,0.26553750837554174,1000
p_lead_quality,brier,0.16577089801701325,0.15454310336389246,0.17722571432997086,1000
p_lead_quality,log_loss,0.5128738920902987,0.48692539275548685,0.5394342762161927,1000
p_lead_quality,lift_top_5pct,1.6887936241363564,1.3807304652736343,1.9826194964681327,1000
p_lead_quality,lift_top_10pct,1.6887936241363564,1.3807304652736343,1.9816787539063285,1000
p_lead_quality,recall_top_10pct,0.16976768167823103,0.1387993220497166,0.19921025462997574,1000
p_lead_quality,recall_top_20pct,0.26804190798464245,0.23911385750390016,0.2975698764373168,1000
inventory_serviceability_lower,roc_auc,0.47290343412544655,0.4384054752359168,0.5082934170576133,1000
inventory_serviceability_lower,average_precision,0.2067524409862475,0.18300890331798728,0.24059882194492707,1000
inventory_serviceability_lower,brier,0.5376767503655516,0.5230322971227186,0.5521799511930106,1000
inventory_serviceability_lower,log_loss,1.5765330896624994,1.5273408024917123,1.6226375340753671,1000
inventory_serviceability_lower,lift_top_5pct,1.1509705938881414,0.7329273765809874,1.599746976631092,1000
inventory_serviceability_lower,lift_top_10pct,0.8769299762957269,0.6306429836025289,1.1686399158989922,1000
inventory_serviceability_lower,recall_top_10pct,0.0881542699724518,0.06339602172976912,0.11747870574788231,1000
inventory_serviceability_lower,recall_top_20pct,0.18732782369146006,0.14969358453564927,0.22325265572187347,1000
inventory_serviceability_upper,roc_auc,0.48011746818059203,0.4465007360198484,0.517316268195579,1000
inventory_serviceability_upper,average_precision,0.2112222235411771,0.18701608434721548,0.245351165203255,1000
inventory_serviceability_upper,brier,0.5826174889643774,0.5676009921610167,0.5983274088276772,1000
inventory_serviceability_upper,log_loss,1.8207400302085595,1.7629985256549723,1.8758269722823262,1000
inventory_serviceability_upper,lift_top_5pct,1.2605868409251073,0.8289728682170544,1.7200589772803432,1000
inventory_serviceability_upper,lift_top_10pct,1.1235665321289001,0.8289173070328575,1.4210963455149501,1000
inventory_serviceability_upper,recall_top_10pct,0.11294765840220386,0.08332774798927614,0.14285714285714285,1000
inventory_serviceability_upper,recall_top_20pct,0.19008264462809918,0.15548917610339721,0.22703002171146217,1000
opportunity_probability_lower,roc_auc,0.5118806761981837,0.47784599576226994,0.5455089807613019,1000
opportunity_probability_lower,average_precision,0.2477033603476502,0.2129328433383362,0.28887814411534246,1000
opportunity_probability_lower,brier,0.17071491602692765,0.15739549477715817,0.1836082339329715,1000
opportunity_probability_lower,log_loss,0.5317976688690614,0.4974390634878146,0.5641865363689799,1000
opportunity_probability_lower,lift_top_5pct,1.5894355820360049,1.1175601211912418,2.079577796234773,1000
opportunity_probability_lower,lift_top_10pct,1.3702030879620732,1.0776264515708411,1.6898289365769013,1000
opportunity_probability_lower,recall_top_10pct,0.13774104683195593,0.10832948548812665,0.16987175750510053,1000
opportunity_probability_lower,recall_top_20pct,0.21763085399449036,0.1842818428184282,0.2627189913440108,1000
opportunity_probability_upper,roc_auc,0.5234956797541097,0.4867899111200984,0.5572793074688112,1000
opportunity_probability_upper,average_precision,0.26127868113768477,0.22299064393613896,0.3044722690445223,1000
opportunity_probability_upper,brier,0.1694553914095704,0.1565117759907742,0.18201281747375625,1000
opportunity_probability_upper,log_loss,0.5266442707091931,0.494575958412416,0.5578775536692506,1000
opportunity_probability_upper,lift_top_5pct,1.8086680761099367,1.2817320871237703,2.250100378125546,1000
opportunity_probability_upper,lift_top_10pct,1.5072233967582807,1.1573311414120682,1.774394365599265,1000
opportunity_probability_upper,recall_top_10pct,0.15151515151515152,0.11634187979127746,0.17837278251494657,1000
opportunity_probability_upper,recall_top_20pct,0.24517906336088155,0.2056978330658106,0.2846510238197895,1000
