system,stress_id,status,roc_auc,average_precision,top5_lift,top10_lift,top20_lift,top10_recall,top10_precision
CLEAN_OPPORTUNITY,CLEAN,DEPLOYABLE_REFERENCE,0.49780918259880724,0.20230397238083825,0.874003386178236,0.977080708610804,1.0051577404674363,0.09775280898876404,0.19908466819221968
LEAD_SCORE_INTERNAL,S001,LEAKAGE_EXPECTED_UNKNOWN_PROVENANCE_NON_DEPLOYABLE,0.4987995167053259,0.20110910004521884,0.874003386178236,0.9209266448975394,0.9714653022394776,0.09213483146067415,0.18764302059496568
FUTURE_INQUIRIES,S002,FUTURE_LEAKAGE_NON_DEPLOYABLE,0.5160353037713784,0.21109871690037194,1.0532861320609512,1.0107731468387628,1.0556963978093745,0.10112359550561797,0.20594965675057209
NEAREST_SNAPSHOT,S003,FUTURE_SNAPSHOT_LEAKAGE_NON_DEPLOYABLE,0.49988676819300776,0.20290191812610883,0.986055102354933,1.0107731468387628,1.0276193659527422,0.10112359550561797,0.20594965675057209
