lead_profile,spot_profile,broker_profile,n,scheduled_visit_rate,smoothed_visit_rate,positive_response_rate,lift_vs_global,expected_marginal_probability,synergy_vs_marginals,wilson_low,wilson_high
L1,S3,B2,41,0.2926829268292683,0.25677715540363527,0.7317073170731707,1.2362533409411693,0.1858968564026027,0.07088029900103257,0.1760901763305888,0.44479757076139725
L2,S1,B2,160,0.225,0.22226935807188475,0.6625,1.070115587476153,0.1955192006522683,0.02675015741961645,0.1671816695685448,0.29571420058897313
L2,S1,B1,223,0.2242152466367713,0.22225762068639568,0.6771300448430493,1.0700590778462291,0.19615937062538635,0.026098250061009326,0.17441036613938843,0.28336104792222994
L1,S1,B1,1922,0.21019771071800208,0.21015941497625928,0.6654526534859522,1.0118122793526512,0.19629269641275263,0.013866718563506658,0.19256881463261094,0.2289827813034203
L1,S1,B2,1692,0.2044917257683215,0.20454772243534153,0.642434988179669,0.9847947915970173,0.1956521972329844,0.008895525202357119,0.18595290354620772,0.22436938127095915
L1,S1,B3,145,0.18620689655172415,0.18989244590661775,0.6551724137931034,0.9142369783734389,0.19151939972104556,-0.0016269538144278173,0.1312449567986973,0.25736682915361714
L1,S2,B2,100,0.21,0.20947060025890848,0.61,1.0084959816303098,0.21626335889604575,-0.0067927586371372695,0.14165549531645788,0.2998014930196232
L1,S2,B1,92,0.1956521739130435,0.1986162133906402,0.5760869565217391,0.9562375476248732,0.21695313260006643,-0.018336919209426233,0.12749741209297205,0.28820516382395756
L1,S3,B1,50,0.14,0.1653897254207263,0.64,0.7962686567164179,0.18651282516670503,-0.02112309974597873,0.06950745262022862,0.2618645719852809
