fold,stage_id,stage,variant,n,positive_rate,roc_auc,average_precision,lift_top_10pct,recall_top_20pct
1,1,T1_first_inquiry,baseline,474,0.41350210970464135,0.5615364850976361,0.4682172903894371,1.1084183673469388,0.21428571428571427
1,1,T1_first_inquiry,semantic_rules,474,0.41350210970464135,0.583082513580972,0.4751115570749501,1.1084183673469388,0.21428571428571427
2,1,T1_first_inquiry,baseline,459,0.477124183006536,0.5843131659056316,0.563756849675584,1.230196545562835,0.2648401826484018
2,1,T1_first_inquiry,semantic_rules,459,0.477124183006536,0.5890220700152207,0.54441214777046,1.184633710541989,0.228310502283105
3,1,T1_first_inquiry,baseline,465,0.5225806451612903,0.5798576354131909,0.5908366428076026,1.262148673496191,0.2345679012345679
3,1,T1_first_inquiry,semantic_rules,465,0.5225806451612903,0.5801542283023764,0.5948774039454793,1.2214342001576044,0.22633744855967078
4,1,T1_first_inquiry,baseline,460,0.5282608695652173,0.567958127097912,0.5652551980238478,1.1934156378600824,0.20987654320987653
4,1,T1_first_inquiry,semantic_rules,460,0.5282608695652173,0.5918435076141171,0.580089064929594,1.02880658436214,0.205761316872428
1,2,T2_engaged,baseline,1024,0.3076171875,0.6061969686793383,0.3821562126186794,1.2308830328247804,0.28888888888888886
1,2,T2_engaged,semantic_rules,1024,0.3076171875,0.5689636644502654,0.34270985366426215,0.6627831715210356,0.19682539682539682
2,2,T2_engaged,baseline,931,0.34801288936627284,0.6528667602253544,0.4497325487016288,1.1310415024954033,0.26851851851851855
2,2,T2_engaged,semantic_rules,931,0.34801288936627284,0.6602929810645353,0.4656786321054831,1.4061597058050959,0.2839506172839506
3,2,T2_engaged,baseline,905,0.39005524861878454,0.6547091185285544,0.525478048179209,1.5213398499517479,0.3002832861189802
3,2,T2_engaged,semantic_rules,905,0.39005524861878454,0.6672722420659358,0.5430730285978423,1.5213398499517479,0.29461756373937675
4,2,T2_engaged,baseline,781,0.44174135723431496,0.6430062491689935,0.5518891253035292,1.4614199229499176,0.27246376811594203
4,2,T2_engaged,semantic_rules,781,0.44174135723431496,0.6502459779284671,0.566662540314844,1.4327646303430566,0.30434782608695654
