stage,review_tier,n,share,positive_rate,mean_signal_count
T1_first_inquiry,ambiguity,269,0.14477933261571582,0.5315985130111525,1.0
T1_first_inquiry,cross_field,100,0.05382131324004306,0.54,1.06
T1_first_inquiry,direct_conflict,178,0.09580193756727665,0.5280898876404494,1.2078651685393258
T1_first_inquiry,none,1311,0.7055974165769645,0.4652936689549962,0.0
T2_engaged,ambiguity,490,0.13457841252403185,0.35918367346938773,1.0
T2_engaged,cross_field,214,0.05877506179620983,0.35514018691588783,1.0700934579439252
T2_engaged,direct_conflict,388,0.10656413073331503,0.3247422680412371,1.231958762886598
T2_engaged,none,2549,0.7000823949464433,0.37622597096900745,0.0
