fold,model,stage,n,positive_rate,roc_auc,average_precision,brier,log_loss,lift_top_10pct,recall_top_20pct
1,pooled_catboost_pit_core,T0_cold,461,0.40997830802603036,0.48806605975723627,0.42418877796660026,0.24209784301209833,0.6772710286187911,1.0379376336823145,0.19047619047619047
1,pooled_catboost_pit_core,T1_first_inquiry,459,0.4117647058823529,0.5484224965706448,0.444731380430862,0.23736162682778325,0.6663941149899197,0.84472049689441,0.19576719576719576
1,pooled_catboost_pit_core,T2_engaged,960,0.30625,0.6032307818022105,0.3746673856697365,0.20834301519464696,0.6061317595570053,1.2244897959183672,0.2925170068027211
1,pooled_catboost_pit_core,MACRO,1880,0.3574468085106383,0.597932804123305,0.4127662844271145,0.22370499304754835,0.6382890064618941,1.1160714285714286,0.25
1,pooled_catboost_pit_full,T0_cold,461,0.40997830802603036,0.46451914098972924,0.395296473874179,0.24208121620479736,0.6772360470869596,0.9860407519981987,0.18518518518518517
1,pooled_catboost_pit_full,T1_first_inquiry,459,0.4117647058823529,0.5642367234959826,0.4728657581553414,0.23722154642997736,0.666655094738111,1.3198757763975155,0.21164021164021163
1,pooled_catboost_pit_full,T2_engaged,960,0.30625,0.6086035014606442,0.39151264048474554,0.20700143814618602,0.6029636925369898,1.4625850340136053,0.29931972789115646
1,pooled_catboost_pit_full,MACRO,1880,0.3574468085106383,0.5987612346263009,0.4263187168230212,0.22298165484154775,0.6367264101209529,1.2648809523809523,0.2544642857142857
2,pooled_catboost_pit_core,T0_cold,461,0.4685466377440347,0.5002173091458805,0.4810947825354842,0.2524403435396838,0.6981715578688449,0.9990149724192278,0.18981481481481483
2,pooled_catboost_pit_core,T1_first_inquiry,450,0.4688888888888889,0.5914255686212299,0.5361654242293716,0.24455174139033747,0.6816267786796427,1.0900473933649288,0.23696682464454977
2,pooled_catboost_pit_core,T2_engaged,891,0.35353535353535354,0.6517250881834215,0.4822324805911192,0.21753953943965307,0.6246960419905258,1.5085714285714285,0.29523809523809524
2,pooled_catboost_pit_core,MACRO,1802,0.4117647058823529,0.6233503280272593,0.5068207972330019,0.233213657956813,0.6577099400648919,1.408839779005525,0.2560646900269542
2,pooled_catboost_pit_full,T0_cold,461,0.4685466377440347,0.4589096749811036,0.4506934693753351,0.25558208478160876,0.7047446269848728,0.8627856579984239,0.16666666666666666
2,pooled_catboost_pit_full,T1_first_inquiry,450,0.4688888888888889,0.5125225564655258,0.46354962529710486,0.25950378092412135,0.7131444657850116,0.8530805687203792,0.17061611374407584
2,pooled_catboost_pit_full,T2_engaged,891,0.35353535353535354,0.6365134479717813,0.4645949978181298,0.2220770524958561,0.6346764244450509,1.2885714285714285,0.2507936507936508
2,pooled_catboost_pit_full,MACRO,1802,0.4117647058823529,0.5905323450134771,0.4614002279188075,0.23999483699999113,0.6721969904682696,1.100236779794791,0.2223719676549865
3,pooled_catboost_pit_core,T0_cold,460,0.5065217391304347,0.5181032689871622,0.5168848333549219,0.25131296459670005,0.6957771118744666,0.9442060085836911,0.18454935622317598
3,pooled_catboost_pit_core,T1_first_inquiry,452,0.5088495575221239,0.563963963963964,0.5720715563243982,0.24658726701716957,0.6860297498825212,1.1962192816635162,0.21739130434782608
3,pooled_catboost_pit_core,T2_engaged,892,0.36434977578475336,0.6897571564238231,0.5431817465934927,0.21002430032161623,0.6081001033816764,1.6162735042735044,0.3323076923076923
3,pooled_catboost_pit_core,MACRO,1804,0.43680709534368073,0.6473480155082139,0.552118281050791,0.22971346135982504,0.6499823783955708,1.290125361079171,0.2550761421319797
3,pooled_catboost_pit_full,T0_cold,460,0.5065217391304347,0.4890624113743359,0.5132923393997835,0.25157358588973083,0.696302904908135,1.0729613733905579,0.20600858369098712
3,pooled_catboost_pit_full,T1_first_inquiry,452,0.5088495575221239,0.5387779083431258,0.5427885071117882,0.25009409351065065,0.6933209398727317,0.9826086956521739,0.2
3,pooled_catboost_pit_full,T2_engaged,892,0.36434977578475336,0.6395224528557862,0.5116627272787376,0.21793981151694586,0.6261927692381294,1.7382564102564102,0.30153846153846153
3,pooled_catboost_pit_full,MACRO,1804,0.43680709534368073,0.6246752468124226,0.540544476466554,0.23457244548182152,0.6608893299560025,1.3660150882014752,0.2512690355329949
4,pooled_catboost_pit_core,T0_cold,461,0.5010845986984815,0.5263410502540938,0.5142736383101326,0.2500278904958521,0.6932029670159947,0.8916827852998066,0.19913419913419914
4,pooled_catboost_pit_core,T1_first_inquiry,453,0.49448123620309054,0.6128742981908921,0.582935148373338,0.24325827380695653,0.6795752452690851,1.2309782608695652,0.22767857142857142
4,pooled_catboost_pit_core,T2_engaged,830,0.3963855421686747,0.6288820535221351,0.5030510115159561,0.22836543401182524,0.647998276560854,1.398176291793313,0.270516717325228
4,pooled_catboost_pit_core,MACRO,1744,0.44954128440366975,0.6157572013180272,0.5359320416378619,0.23795995744435436,0.6681494973892076,1.2457142857142858,0.24872448979591838
4,pooled_catboost_pit_full,T0_cold,461,0.5010845986984815,0.5224825898738942,0.5249903193906512,0.2500277756918062,0.6932027373688603,1.188910380399742,0.22077922077922077
4,pooled_catboost_pit_full,T1_first_inquiry,453,0.49448123620309054,0.5869073611977542,0.5568681043983079,0.2440373280686526,0.6811601336143509,1.0551242236024845,0.20535714285714285
4,pooled_catboost_pit_full,T2_engaged,830,0.3963855421686747,0.6151102051216716,0.47779775901472377,0.23105762963574542,0.653992851091008,1.1854103343465046,0.25835866261398177
4,pooled_catboost_pit_full,MACRO,1744,0.44954128440366975,0.6034299266581633,0.5140062053763887,0.2394435474809008,0.6714140303095655,1.1058892128279882,0.23214285714285715
