variant,fold,train_n,validation_n,positive_rate,roc_auc,average_precision,brier,log_loss
T0_BASE_RATE,F1,2189,586,0.4249146758,0.5000000000,0.4249146758,0.2534031046,0.7014684255
T0_INTAKE_LOGISTIC,F1,2189,586,0.4249146758,0.4985401547,0.4285954084,0.2545523595,0.7045580557
T0_BASE_RATE,F2,2775,569,0.4393673111,0.5000000000,0.4393673111,0.2543263037,0.7028039180
T0_INTAKE_LOGISTIC,F2,2775,569,0.4393673111,0.5112476489,0.4646591100,0.2549310501,0.7045527498
T0_BASE_RATE,F3,3344,551,0.5263157895,0.5000000000,0.5263157895,0.2752878289,0.7454743481
T0_INTAKE_LOGISTIC,F3,3344,551,0.5263157895,0.4531510107,0.5014088773,0.2786857865,0.7533252832
T0_BASE_RATE,F4,3895,539,0.5306122449,0.5000000000,0.5306122449,0.2694201867,0.7328773937
T0_INTAKE_LOGISTIC,F4,3895,539,0.5306122449,0.5158931977,0.5476804615,0.2685615780,0.7312961181
