family,silhouette,stability_ari,min_cluster_share,max_cluster_share,normalized_entropy,balance_ok
need_profile,0.8002483812250507,1.0,0.005020538566864446,0.9260611592879964,0.2567422558122476,False
dynamic_need_profile,0.6605027741354144,0.9403908213078391,0.003651300775901415,0.8457325422181652,0.35430338342337475,False
physical_profile,0.09341900416722969,1.0,0.17334064728469556,0.337904552934723,0.9776248176314238,True
location_profile,0.5035361029066632,1.0,0.05924300603400987,0.3340647284695557,0.9047096843885847,True
broker_service_profile,0.14443823786774393,0.9303796072044769,0.17391304347826086,0.4180602006688963,0.9417114951279144,True
