population,n,min,p05,p10,p25,p50,p75,p80,p90,p95,max,mean,actionable_rate
DEVELOPMENT,4368,0,17.445123112483675,18.170046250386264,19.507480556366826,20.39628580883686,21.19226758844555,21.307940332937303,22.298344072628932,22.298344072628932,24.631877503064825,20.341960735019136,0.9983974358974359
CALIBRATION,312,16.459649431257848,17.55893120589304,18.465604122530898,19.674648442260214,20.692145499512886,21.19226758844555,21.307940332937303,22.298344072628932,22.298344072628932,24.631877503064825,20.474412648947446,1
PROCEDURAL_HOLDOUT,290,16.832030651590447,18.13002453458527,18.910589434466516,20.087771938074948,20.692145499512886,21.202963221718534,21.307940332937303,22.298344072628932,22.298344072628932,23.569266546036367,20.604324606385074,1
POST_HOLDOUT_AUDIT,30,16.901849797587786,17.655937556875216,17.988317112914082,19.066000377412397,20.692145499512886,21.269095785117003,21.307940332937303,21.472137290208362,22.298344072628932,22.298344072628932,20.23405250394868,1
